Game,Region,Game ID,Format,Emulator/Core,Device,Hardware Revision,TreeFrogUI Version,Performance,Audio,Graphics,Status,Required Settings,Notes,Reported By
Tekken 3,USA,SLUS-00402,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Regular,Good,Playable with Issues,Yes,"Performance drops are observed in several game scenarios, but it is playable.",MartStartIV
007: The World is Not Enough,PAL,SLES-03137,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Pefect,Good,Quite playable,Global default,"Good overall performance",MartStartIV
2002 FIFA World Cup,PAL,SLES-03830,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Good performance, though with some FPS drops.",MartStartIV
In Cold Blood,PAL,SCES-02153,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Regular,Playable,Global default,"Adequate performance, though it feels sluggish at times.",MartStartIV
Aconcagua,NTSC,SCPS-10131,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Pefect,Good,Low,Pefect,Global default,"Based on my testing, the version I tried is translated into Spanish.",MartStartIV
Alien Resurrection,PAL,SLES-02913,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Good overall performance",MartStartIV
F1 2000,PAL,SLES-02722,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,None,None,None,Not Playable,None,"It only loads the EA GAMES intro video.",MartStartIV
Alien Trilogy,PAL,SLES-00101,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Sometimes the game drops to around 4 fps, but only on occasion.",MartStartIV
Alone in the dark - The New Nightmared,PAL,SLES-02801,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Pefect,Regular,Playable,Global default,"The performance is quite good.",MartStartIV
Atlantis: The Lost Empire,PAL,SCES-03541,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"It feels a bit demanding for the console at times.",MartStartIV
Batman & Robin,PAL,SLES-00102,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Good,Regular,Playable,Global default,"The FPS are a bit low but stable.",MartStartIV
Blaster Master - Blasting Again,PAL,SLES-02273,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Perfect,Good,Perfect,Global default,"I haven't noticed any FPS drops.",MartStartIV
C-12 Final Resistance,PAL,SCES-03366,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"This game performs well, despite reports on forums suggesting it generally wouldn't run.",MartStartIV
Carmagedoon,PAL,SLES-01960,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Regular,Regular,Regular,Playable with Issues,Global default,"In the tests conducted, the game currently experiences FPS drops.",MartStartIV
Castlevania: Symphony of the Night,USA,SLUS-00067,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Pefect,Pefect,Good,Perfect,Global default,"This game really runs very well :)",MartStartIV
Chaos Break,PAL,SLES-03107,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Good performance and efficiency with TreeFrogUI",MartStartIV
Covert Ops: Nuclear Dawn ,PAL,SCES-02816,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Good performance in this case.",MartStartIV
Colin Mcrae Rally 2.0,PAL,SLES-02847,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Yes,"Good performance in this case, but with some FPS drops.",MartStartIV
Colony Wars: Red Sun,PAL,SLES-02621,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Pefect,Playable,Global default,"Some FPS drops",MartStartIV
Colony Wars: Vengeance,PAL,SLES-01382,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"Some FPS drops",MartStartIV
Countdown Vampires,PAL,SLES-02835,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Perfect,Global default,"good overall performance",MartStartIV
Crash Bandicoot 1,PAL,SCES-00344,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"The game performs well with the mentioned TreeFrogUI version.",MartStartIV
Crash Bandicoot 2: Cortex Strikes Back,PAL,SCES-00967,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"The game performs well with the mentioned TreeFrogUI version.",MartStartIV
Crash Bandicoot 3: Warped,PAL,SCES-01420,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"The FPS fluctuates a bit.",MartStartIV
Crash Bash,PAL,SCES-02834,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Perfect,Global default,"good overall performance",MartStartIV
Crash Team Racing,PAL,SCES-02105,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX) - HiChip Mips 74Kc,V1.4.0_q,Good,Good,Good,Playable,Global default,"The FPS fluctuates a bit.",MartStartIV
